_id,Neighborhood,Sector #,Population (2010),#Part 1 (Major Crime) Reports (2010),#Part 2 Reports (2010),#Other Police Reports (2010),Part 1 Crime per 100 Persons (2010),Part 2 Crime per 100 Persons (2010),#Murder (2010),#Rape (2010),#Robbery (2010),#Agr. Assault (2010),#Burglary (2010),#Auto Theft (2010),#Drug Violations (2010)
64,Point Breeze North,11,2054,84,63,63,4.08958130477117975942746852524578571319580078125,3.067185978578379934589293043245561420917510986328125,0,0,4,5,13,10,9
65,Polish Hill,13,1274,34,39,40,2.66875981161695019494572989060543477535247802734375,3.061224489795919989632011493085883557796478271484375,1,0,3,3,6,8,11
66,Regent Square,10,928,38,14,12,4.094827586206900349452553200535476207733154296875,1.50862068965516993301889669965021312236785888671875,0,1,2,0,6,1,1
67,Ridgemont,4,483,14,15,7,2.89855072463767982071658479981124401092529296875,3.105590062111799998234573649824596941471099853515625,0,0,0,1,3,0,2
68,Shadyside,12,13915,623,308,285,4.47718289615523001856445262092165648937225341796875,2.213438735177870153592039059731177985668182373046875,0,1,24,10,60,53,14
69,Sheraden,4,5299,222,384,184,4.189469711266280427253150264732539653778076171875,7.24665031137949977591006245347671210765838623046875,2,3,21,21,73,25,61
70,South Oakland,14,2969,104,110,87,3.502862916807009785458149053738452494144439697265625,3.704951162007410037091403864906169474124908447265625,0,1,2,3,37,19,13
71,South Shore,16,19,37,60,50,194.7368421052630083067924715578556060791015625,315.78947368421000874150195159018039703369140625,0,0,4,1,5,2,3
72,South Side Flats,7,6597,669,770,537,10.1409731696225993147209010203368961811065673828125,11.6719721085342005295615308568812906742095947265625,1,6,52,61,74,56,53
73,South Side Slopes,7,4423,210,203,172,4.74790865928102956416978486231528222560882568359375,4.58964503730499995270974977756850421428680419921875,0,0,15,14,65,23,27
74,Spring Garden,1,884,36,61,30,4.0723981900452503879250798490829765796661376953125,6.900452488687779606379990582354366779327392578125,0,0,2,7,10,3,9
75,Spring Hill-City View,1,2648,121,173,49,4.56948640483383972110686954692937433719635009765625,6.53323262839878982077834734809584915637969970703125,0,0,15,15,32,9,52
76,Squirrel Hill North,10,11363,148,110,120,1.3024729384845599167164209575275890529155731201171875,0.96805421103581801300919096320285461843013763427734375,0,0,4,3,33,16,15
77,Squirrel Hill South,10,15110,331,210,190,2.190602250165449849106380497687496244907379150390625,1.38980807412310003456923368503339588642120361328125,0,0,22,5,70,29,8
78,St. Clair,7,209,14,10,10,6.69856459330144016206531887291930615901947021484375,4.7846889952153102143483920372091233730316162109375,0,0,0,2,2,4,0
79,Stanton Heights,13,4601,67,88,67,1.4562051727885199081669043152942322194576263427734375,1.9126276896326899201739024647395126521587371826171875,0,1,3,4,20,12,7
80,Strip District,13,616,155,167,142,25.16233766233769841846878989599645137786865234375,27.110389610389599823747630580328404903411865234375,0,0,12,14,20,18,38
81,Summer Hill,1,1051,13,22,13,1.236917221693619950428910669870674610137939453125,2.093244529019980149087132303975522518157958984375,0,0,0,1,2,2,1
82,Swisshelm Park,10,1361,28,14,12,2.0573108008816998193424296914599835872650146484375,1.02865540044084990967121484572999179363250732421875,0,0,0,0,4,2,0
83,Terrace Village,15,3228,163,263,104,5.04956629491945019339027567184530198574066162109375,8.1474597273853799350717963534407317638397216796875,5,1,22,26,37,25,71
84,Troy Hill,1,2714,163,176,91,6.00589535740603963631656370125710964202880859375,6.48489314664702032331433656509034335613250732421875,1,0,19,10,46,12,27
85,Upper Hill,15,2057,45,79,43,2.187651920272239980391759672784246504306793212890625,3.840544482255709990425884825526736676692962646484375,2,3,6,8,5,6,9
86,Upper Lawrenceville,13,2669,92,184,73,3.44698388909703989924082634388469159603118896484375,6.8939677781940797984816526877693831920623779296875,0,0,12,9,24,12,29
87,West End,4,254,23,54,66,9.0551181102362203745315127889625728130340576171875,21.25984251968500160501207574270665645599365234375,0,1,2,3,7,3,30
88,West Oakland,14,2604,82,65,80,3.14900153609830990575346731930039823055267333984375,2.49615975422427016638948771287687122821807861328125,1,1,13,4,14,8,13
89,Westwood,4,3066,57,53,44,1.8590998043052799904018002052907831966876983642578125,1.728636660143509917730852976092137396335601806640625,0,1,1,4,17,6,3
90,Windgap,4,1369,41,40,28,2.9948867786705601901076079229824244976043701171875,2.921840759678600019100258577964268624782562255859375,1,0,4,1,8,7,5
