_id,date,center_name,attendance_count
48837531,2021-07-16,West Penn Community Center,32
48837532,2021-07-15,Ormsby Community Center,3
48837533,2021-07-15,Phillips Community Center,4
48837534,2021-07-15,Warrington Community Center,74
48837535,2021-07-15,Magee Community Center,5
48837536,2021-07-15,West Penn Community Center,25
48837537,2021-07-14,Ormsby Community Center,2
48837538,2021-07-14,Phillips Community Center,5
48837539,2021-07-14,Warrington Community Center,77
48837540,2021-07-14,Magee Community Center,2
48837541,2021-07-14,West Penn Community Center,63
48837542,2021-07-13,Ormsby Community Center,3
48837543,2021-07-13,Phillips Community Center,2
48837544,2021-07-13,Warrington Community Center,66
48837545,2021-07-13,Magee Community Center,10
48837546,2021-07-13,West Penn Community Center,28
48837547,2021-07-12,Ormsby Community Center,5
48837548,2021-07-12,Phillips Community Center,6
48837549,2021-07-12,Warrington Community Center,79
48837550,2021-07-12,Magee Community Center,1
48837551,2021-07-12,West Penn Community Center,61
48837552,2021-07-09,Phillips Community Center,10
48837553,2021-07-09,Warrington Community Center,76
48837554,2021-07-09,West Penn Community Center,57
48837555,2021-07-08,Ormsby Community Center,3
48837556,2021-07-08,Phillips Community Center,3
48837557,2021-07-08,West Penn Community Center,46
48837558,2021-07-07,Ormsby Community Center,3
48837559,2021-07-07,Phillips Community Center,6
48837560,2021-07-07,Magee Community Center,1
48837561,2021-07-07,West Penn Community Center,25
48837562,2021-07-06,Ormsby Community Center,3
48837563,2021-07-06,Phillips Community Center,5
48837564,2021-07-06,Warrington Community Center,76
48837565,2021-07-06,Magee Community Center,2
48837566,2021-07-06,West Penn Community Center,31
48837567,2021-07-02,Ormsby Community Center,2
48837568,2021-07-02,Phillips Community Center,2
48837569,2021-07-02,Warrington Community Center,30
48837570,2021-07-02,Magee Community Center,1
48837571,2021-07-02,West Penn Community Center,26
48837572,2021-07-01,Ormsby Community Center,2
48837573,2021-07-01,Phillips Community Center,3
48837574,2021-07-01,Warrington Community Center,77
48837575,2021-07-01,West Penn Community Center,22
48837576,2021-06-30,Brookline Community Center,1
48837577,2021-06-30,Warrington Community Center,73
48837578,2021-06-30,Magee Community Center,1
48837579,2021-06-30,West Penn Community Center,26
48837580,2021-06-29,Phillips Community Center,4
48837581,2021-06-29,Warrington Community Center,55
48837582,2021-06-29,Magee Community Center,2
48837583,2021-06-29,West Penn Community Center,10
48837584,2021-06-28,Phillips Community Center,4
48837585,2021-06-28,Warrington Community Center,74
48837586,2021-06-28,Magee Community Center,1
48837587,2021-06-28,West Penn Community Center,5
48837588,2021-06-23,Ormsby Community Center,6
48837589,2021-06-22,Phillips Community Center,2
48837590,2021-06-21,Ormsby Community Center,1
48837591,2021-06-16,Phillips Community Center,2
48837592,2021-02-05,West Penn Community Center,2
48837593,2020-11-06,Phillips Community Center,1
48837594,2020-11-04,West Penn Community Center,2
48837595,2020-11-02,Brookline Community Center,1
48837596,2020-10-12,West Penn Community Center,1
48837597,2020-03-16,Ammon Community Center,2
48837598,2020-03-16,Brookline Community Center,6
48837599,2020-03-16,Phillips Community Center,3
48837600,2020-03-16,Magee Community Center,2
48837601,2020-03-16,West Penn Community Center,7
48837602,2020-03-14,Brookline Community Center,16
48837603,2020-03-14,Phillips Community Center,6
48837604,2020-03-14,Warrington Community Center,6
48837605,2020-03-14,Magee Community Center,9
48837606,2020-03-13,Ammon Community Center,31
48837607,2020-03-13,Brookline Community Center,41
48837608,2020-03-13,Ormsby Community Center,31
48837609,2020-03-13,Phillips Community Center,113
48837610,2020-03-13,Warrington Community Center,69
48837611,2020-03-13,Magee Community Center,79
48837612,2020-03-13,Jefferson Community Center,17
48837613,2020-03-13,West Penn Community Center,48
48837614,2020-03-12,Ammon Community Center,33
48837615,2020-03-12,Brookline Community Center,35
48837616,2020-03-12,Ormsby Community Center,51
48837617,2020-03-12,Paulson Community Center,16
48837618,2020-03-12,Phillips Community Center,115
48837619,2020-03-12,Warrington Community Center,50
48837620,2020-03-12,Jefferson Community Center,27
48837621,2020-03-12,Magee Community Center,52
48837622,2020-03-12,West Penn Community Center,69
48837623,2020-03-11,Ammon Community Center,130
48837624,2020-03-11,Brookline Community Center,54
48837625,2020-03-11,Paulson Community Center,23
48837626,2020-03-11,Ormsby Community Center,31
48837627,2020-03-11,Phillips Community Center,97
48837628,2020-03-11,Warrington Community Center,65
48837629,2020-03-11,Magee Community Center,36
48837630,2020-03-11,Jefferson Community Center,25
48837631,2020-03-11,West Penn Community Center,79
48837632,2020-03-10,Ammon Community Center,87
48837633,2020-03-10,Brookline Community Center,62
48837634,2020-03-10,Ormsby Community Center,50
48837635,2020-03-10,Paulson Community Center,2
48837636,2020-03-10,Phillips Community Center,105
48837637,2020-03-10,Warrington Community Center,58
48837638,2020-03-10,Jefferson Community Center,25
48837639,2020-03-10,Magee Community Center,46
48837640,2020-03-10,West Penn Community Center,99
48837641,2020-03-09,Ammon Community Center,69
48837642,2020-03-09,Brookline Community Center,40
48837643,2020-03-09,Paulson Community Center,26
48837644,2020-03-09,Ormsby Community Center,41
48837645,2020-03-09,Phillips Community Center,103
48837646,2020-03-09,Warrington Community Center,65
48837647,2020-03-09,Magee Community Center,78
48837648,2020-03-09,Jefferson Community Center,36
48837649,2020-03-09,West Penn Community Center,63
48837650,2020-03-08,Ammon Community Center,1
48837651,2020-03-07,Ammon Community Center,4
48837652,2020-03-07,Brookline Community Center,20
48837653,2020-03-07,Phillips Community Center,26
48837654,2020-03-07,Warrington Community Center,13
48837655,2020-03-07,Magee Community Center,11
48837656,2020-03-07,West Penn Community Center,115
48837657,2020-03-06,Ammon Community Center,153
48837658,2020-03-06,Brookline Community Center,46
48837659,2020-03-06,Ormsby Community Center,51
48837660,2020-03-06,Paulson Community Center,15
48837661,2020-03-06,Phillips Community Center,71
48837662,2020-03-06,Warrington Community Center,57
48837663,2020-03-06,Magee Community Center,35
48837664,2020-03-06,Jefferson Community Center,17
48837665,2020-03-06,West Penn Community Center,37
48837666,2020-03-05,Ammon Community Center,54
48837667,2020-03-05,Brookline Community Center,53
48837668,2020-03-05,Paulson Community Center,21
48837669,2020-03-05,Ormsby Community Center,34
48837670,2020-03-05,Phillips Community Center,103
48837671,2020-03-05,Warrington Community Center,55
48837672,2020-03-05,Jefferson Community Center,25
48837673,2020-03-05,Magee Community Center,87
48837674,2020-03-05,West Penn Community Center,44
48837675,2020-03-04,Ammon Community Center,82
48837676,2020-03-04,Brookline Community Center,52
48837677,2020-03-04,Ormsby Community Center,31
48837678,2020-03-04,Paulson Community Center,24
48837679,2020-03-04,Phillips Community Center,122
48837680,2020-03-04,Warrington Community Center,57
48837681,2020-03-04,Magee Community Center,89
48837682,2020-03-04,Jefferson Community Center,20
48837683,2020-03-04,West Penn Community Center,108
48837684,2020-03-03,Ammon Community Center,52
48837685,2020-03-03,Brookline Community Center,48
48837686,2020-03-03,Paulson Community Center,23
48837687,2020-03-03,Ormsby Community Center,38
48837688,2020-03-03,Phillips Community Center,126
48837689,2020-03-03,Warrington Community Center,69
48837690,2020-03-03,Jefferson Community Center,21
48837691,2020-03-03,Magee Community Center,55
48837692,2020-03-03,West Penn Community Center,75
48837693,2020-03-02,Ammon Community Center,129
48837694,2020-03-02,Brookline Community Center,72
48837695,2020-03-02,Ormsby Community Center,42
48837696,2020-03-02,Paulson Community Center,15
48837697,2020-03-02,Phillips Community Center,94
48837698,2020-03-02,Warrington Community Center,78
48837699,2020-03-02,Magee Community Center,56
48837700,2020-03-02,Jefferson Community Center,15
48837701,2020-03-02,West Penn Community Center,62
48837702,2020-02-29,Brookline Community Center,17
48837703,2020-02-29,Phillips Community Center,19
48837704,2020-02-29,Magee Community Center,25
48837705,2020-02-29,West Penn Community Center,105
48837706,2020-02-28,Ammon Community Center,146
48837707,2020-02-28,Brookline Community Center,50
48837708,2020-02-28,Paulson Community Center,26
48837709,2020-02-28,Ormsby Community Center,38
48837710,2020-02-28,Phillips Community Center,86
48837711,2020-02-28,Warrington Community Center,33
48837712,2020-02-28,Magee Community Center,44
48837713,2020-02-28,Jefferson Community Center,29
48837714,2020-02-28,West Penn Community Center,63
48837715,2020-02-27,Ammon Community Center,43
48837716,2020-02-27,Brookline Community Center,43
48837717,2020-02-27,Ormsby Community Center,44
48837718,2020-02-27,Paulson Community Center,10
48837719,2020-02-27,Phillips Community Center,66
48837720,2020-02-27,Warrington Community Center,49
48837721,2020-02-27,Jefferson Community Center,24
48837722,2020-02-27,Magee Community Center,52
48837723,2020-02-27,West Penn Community Center,105
48837724,2020-02-26,Ammon Community Center,101
48837725,2020-02-26,Brookline Community Center,83
48837726,2020-02-26,Paulson Community Center,18
48837727,2020-02-26,Ormsby Community Center,12
48837728,2020-02-26,Phillips Community Center,63
48837729,2020-02-26,Phillips Park Field,10
48837730,2020-02-26,Warrington Community Center,35
48837731,2020-02-26,Magee Community Center,59
48837732,2020-02-26,Jefferson Community Center,21
48837733,2020-02-26,West Penn Community Center,74
48837734,2020-02-25,Ammon Community Center,65
48837735,2020-02-25,Brookline Community Center,59
48837736,2020-02-25,Ormsby Community Center,18
48837737,2020-02-25,Phillips Community Center,103
48837738,2020-02-25,Warrington Community Center,33
48837739,2020-02-25,Jefferson Community Center,22
48837740,2020-02-25,Magee Community Center,60
48837741,2020-02-25,West Penn Community Center,134
48837742,2020-02-24,Ammon Community Center,98
48837743,2020-02-24,Brookline Community Center,56
48837744,2020-02-24,Ormsby Community Center,20
48837745,2020-02-24,Phillips Community Center,96
48837746,2020-02-24,Warrington Community Center,49
48837747,2020-02-24,Magee Community Center,36
48837748,2020-02-24,Jefferson Community Center,35
48837749,2020-02-24,West Penn Community Center,59
48837750,2020-02-23,Ammon Community Center,1
48837751,2020-02-22,Brookline Community Center,11
48837752,2020-02-22,Phillips Community Center,143
48837753,2020-02-22,Warrington Community Center,28
48837754,2020-02-22,Magee Community Center,32
48837755,2020-02-22,West Penn Community Center,64
48837756,2020-02-21,Ammon Community Center,12
48837757,2020-02-21,Brookline Community Center,69
48837758,2020-02-21,Ormsby Community Center,14
48837759,2020-02-21,Phillips Community Center,75
48837760,2020-02-21,Warrington Community Center,61
48837761,2020-02-21,Magee Community Center,61
48837762,2020-02-21,Jefferson Community Center,18
48837763,2020-02-21,West Penn Community Center,75
48837764,2020-02-20,Ammon Community Center,25
48837765,2020-02-20,Brookline Community Center,75
48837766,2020-02-20,Ormsby Community Center,36
48837767,2020-02-20,Paulson Community Center,15
48837768,2020-02-20,Phillips Community Center,83
48837769,2020-02-20,Warrington Community Center,56
48837770,2020-02-20,Jefferson Community Center,23
48837771,2020-02-20,Magee Community Center,71
48837772,2020-02-20,West Penn Community Center,109
48837773,2020-02-19,Ammon Community Center,70
48837774,2020-02-19,Brookline Community Center,86
48837775,2020-02-19,Paulson Community Center,35
48837776,2020-02-19,Ormsby Community Center,32
48837777,2020-02-19,Phillips Community Center,104
48837778,2020-02-19,Warrington Community Center,57
48837779,2020-02-19,Magee Community Center,54
48837780,2020-02-19,Jefferson Community Center,19
48837781,2020-02-19,West Penn Community Center,78
48837782,2020-02-18,Ammon Community Center,33
48837783,2020-02-18,Brookline Community Center,75
48837784,2020-02-18,Ormsby Community Center,48
48837785,2020-02-18,Paulson Community Center,30
48837786,2020-02-18,Phillips Community Center,112
48837787,2020-02-18,Warrington Community Center,58
48837788,2020-02-18,Jefferson Community Center,12
48837789,2020-02-18,Magee Community Center,42
48837790,2020-02-18,West Penn Community Center,94
48837791,2020-02-17,Ammon Community Center,116
48837792,2020-02-17,Brookline Community Center,62
48837793,2020-02-17,Paulson Community Center,33
48837794,2020-02-17,Ormsby Community Center,10
48837795,2020-02-17,Phillips Community Center,80
48837796,2020-02-17,Warrington Community Center,58
48837797,2020-02-17,Magee Community Center,45
48837798,2020-02-17,Jefferson Community Center,20
48837799,2020-02-17,West Penn Community Center,65
48837800,2020-02-15,Phillips Community Center,21
48837801,2020-02-15,Warrington Community Center,10
48837802,2020-02-15,Magee Community Center,11
48837803,2020-02-15,West Penn Community Center,146
48837804,2020-02-14,Ammon Community Center,12
48837805,2020-02-14,Brookline Community Center,42
48837806,2020-02-14,Ormsby Community Center,18
48837807,2020-02-14,Paulson Community Center,26
48837808,2020-02-14,Phillips Community Center,87
48837809,2020-02-14,Warrington Community Center,44
48837810,2020-02-14,Magee Community Center,42
48837811,2020-02-14,Jefferson Community Center,14
48837812,2020-02-14,West Penn Community Center,92
48837813,2020-02-13,Ammon Community Center,68
48837814,2020-02-13,Brookline Community Center,63
48837815,2020-02-13,Paulson Community Center,27
48837816,2020-02-13,Ormsby Community Center,38
48837817,2020-02-13,Phillips Community Center,57
48837818,2020-02-13,Warrington Community Center,53
48837819,2020-02-13,Jefferson Community Center,18
48837820,2020-02-13,Magee Community Center,58
48837821,2020-02-13,West Penn Community Center,99
48837822,2020-02-12,Ammon Community Center,49
48837823,2020-02-12,Brookline Community Center,84
48837824,2020-02-12,Ormsby Community Center,16
48837825,2020-02-12,Paulson Community Center,28
48837826,2020-02-12,Phillips Community Center,101
48837827,2020-02-12,Warrington Community Center,56
48837828,2020-02-12,Magee Community Center,59
48837829,2020-02-12,Jefferson Community Center,20
48837830,2020-02-12,West Penn Community Center,68
48837831,2020-02-11,Ammon Community Center,48
48837832,2020-02-11,Brookline Community Center,88
48837833,2020-02-11,Ormsby Community Center,24
48837834,2020-02-11,Phillips Community Center,122
48837835,2020-02-11,Warrington Community Center,51
48837836,2020-02-11,Jefferson Community Center,14
48837837,2020-02-11,Magee Community Center,70
48837838,2020-02-11,West Penn Community Center,98
48837839,2020-02-10,Ammon Community Center,61
48837840,2020-02-10,Brookline Community Center,59
48837841,2020-02-10,Ormsby Community Center,15
48837842,2020-02-10,Phillips Community Center,91
48837843,2020-02-10,Warrington Community Center,57
48837844,2020-02-10,Magee Community Center,95
48837845,2020-02-10,Jefferson Community Center,14
48837846,2020-02-10,West Penn Community Center,69
48837847,2020-02-08,Brookline Community Center,29
48837848,2020-02-08,Phillips Community Center,21
48837849,2020-02-08,Warrington Community Center,7
48837850,2020-02-08,Magee Community Center,8
48837851,2020-02-08,West Penn Community Center,98
48837852,2020-02-07,Ammon Community Center,42
48837853,2020-02-07,Brookline Community Center,42
48837854,2020-02-07,Ormsby Community Center,10
48837855,2020-02-07,Phillips Community Center,31
48837856,2020-02-07,Warrington Community Center,36
48837857,2020-02-07,Magee Community Center,41
48837858,2020-02-07,West Penn Community Center,39
48837859,2020-02-06,Ammon Community Center,46
48837860,2020-02-06,Brookline Community Center,51
48837861,2020-02-06,Ormsby Community Center,51
48837862,2020-02-06,Phillips Community Center,98
48837863,2020-02-06,Warrington Community Center,59
48837864,2020-02-06,Magee Community Center,74
48837865,2020-02-06,West Penn Community Center,103
48837866,2020-02-05,Ammon Community Center,67
48837867,2020-02-05,Brookline Community Center,68
48837868,2020-02-05,Ormsby Community Center,33
48837869,2020-02-05,Paulson Community Center,27
48837870,2020-02-05,Phillips Community Center,105
48837871,2020-02-05,Warrington Community Center,72
48837872,2020-02-05,Magee Community Center,84
48837873,2020-02-05,Jefferson Community Center,12
48837874,2020-02-05,West Penn Community Center,56
48837875,2020-02-04,Ammon Community Center,46
48837876,2020-02-04,Brookline Community Center,65
48837877,2020-02-04,Ormsby Community Center,43
48837878,2020-02-04,Phillips Community Center,95
48837879,2020-02-04,Warrington Community Center,48
48837880,2020-02-04,Magee Community Center,46
48837881,2020-02-04,West Penn Community Center,59
48837882,2020-02-03,Ammon Community Center,65
48837883,2020-02-03,Brookline Community Center,53
48837884,2020-02-03,Ormsby Community Center,13
48837885,2020-02-03,Phillips Community Center,99
48837886,2020-02-03,Warrington Community Center,91
48837887,2020-02-03,Magee Community Center,90
48837888,2020-02-03,West Penn Community Center,59
48837889,2020-02-01,Brookline Community Center,16
48837890,2020-02-01,Phillips Community Center,19
48837891,2020-02-01,Warrington Community Center,7
48837892,2020-02-01,Magee Community Center,13
48837893,2020-02-01,West Penn Community Center,48
48837894,2020-01-31,Ammon Community Center,38
48837895,2020-01-31,Brookline Community Center,58
48837896,2020-01-31,Ormsby Community Center,36
48837897,2020-01-31,Phillips Community Center,82
48837898,2020-01-31,Warrington Community Center,61
48837899,2020-01-31,Magee Community Center,65
48837900,2020-01-31,West Penn Community Center,85
48837901,2020-01-30,Ammon Community Center,99
48837902,2020-01-30,Brookline Community Center,68
48837903,2020-01-30,Ormsby Community Center,41
48837904,2020-01-30,Phillips Community Center,58
48837905,2020-01-30,Warrington Community Center,48
48837906,2020-01-30,Magee Community Center,69
48837907,2020-01-30,Jefferson Community Center,16
48837908,2020-01-30,West Penn Community Center,108
48837909,2020-01-29,Ammon Community Center,73
48837910,2020-01-29,Brookline Community Center,70
48837911,2020-01-29,Ormsby Community Center,41
48837912,2020-01-29,Phillips Community Center,91
48837913,2020-01-29,Warrington Community Center,63
48837914,2020-01-29,Jefferson Community Center,19
48837915,2020-01-29,Magee Community Center,55
48837916,2020-01-29,West Penn Community Center,80
48837917,2020-01-28,Ammon Community Center,71
48837918,2020-01-28,Brookline Community Center,60
48837919,2020-01-28,Ormsby Community Center,19
48837920,2020-01-28,Paulson Community Center,41
48837921,2020-01-28,Phillips Community Center,65
48837922,2020-01-28,Warrington Community Center,82
48837923,2020-01-28,Magee Community Center,60
48837924,2020-01-28,Jefferson Community Center,16
48837925,2020-01-28,West Penn Community Center,70
48837926,2020-01-27,Ammon Community Center,30
48837927,2020-01-27,Brookline Community Center,60
48837928,2020-01-27,Ormsby Community Center,21
48837929,2020-01-27,Phillips Community Center,112
48837930,2020-01-27,Warrington Community Center,98
48837931,2020-01-27,Jefferson Community Center,15
48837932,2020-01-27,Magee Community Center,38
48837933,2020-01-27,West Penn Community Center,75
48837934,2020-01-25,Phillips Community Center,41
48837935,2020-01-25,Warrington Community Center,5
48837936,2020-01-25,Magee Community Center,5
48837937,2020-01-25,West Penn Community Center,106
48837938,2020-01-24,Ammon Community Center,15
48837939,2020-01-24,Brookline Community Center,48
48837940,2020-01-24,Ormsby Community Center,44
48837941,2020-01-24,Phillips Community Center,98
48837942,2020-01-24,Warrington Community Center,64
48837943,2020-01-24,Magee Community Center,90
48837944,2020-01-24,Jefferson Community Center,21
48837945,2020-01-24,West Penn Community Center,58
48837946,2020-01-23,Ammon Community Center,24
48837947,2020-01-23,Brookline Community Center,80
48837948,2020-01-23,Ormsby Community Center,16
48837949,2020-01-23,Phillips Community Center,105
48837950,2020-01-23,Warrington Community Center,61
48837951,2020-01-23,Jefferson Community Center,11
48837952,2020-01-23,Magee Community Center,93
48837953,2020-01-23,West Penn Community Center,126
48837954,2020-01-22,Ammon Community Center,120
48837955,2020-01-22,Arlington Community Center,8
48837956,2020-01-22,Brookline Community Center,70
48837957,2020-01-22,Ormsby Community Center,31
48837958,2020-01-22,Phillips Community Center,86
48837959,2020-01-22,Warrington Community Center,61
48837960,2020-01-22,Magee Community Center,80
48837961,2020-01-22,Jefferson Community Center,19
48837962,2020-01-22,West Penn Community Center,55
48837963,2020-01-21,Ammon Community Center,30
48837964,2020-01-21,Brookline Community Center,88
48837965,2020-01-21,Ormsby Community Center,19
48837966,2020-01-21,Phillips Community Center,76
48837967,2020-01-21,Warrington Community Center,48
48837968,2020-01-21,Jefferson Community Center,20
48837969,2020-01-21,Magee Community Center,62
48837970,2020-01-21,West Penn Community Center,87
48837971,2020-01-17,Ammon Community Center,84
48837972,2020-01-17,Brookline Community Center,64
48837973,2020-01-17,Ormsby Community Center,45
48837974,2020-01-17,Phillips Community Center,54
48837975,2020-01-17,Warrington Community Center,55
48837976,2020-01-17,Magee Community Center,43
48837977,2020-01-17,Jefferson Community Center,21
48837978,2020-01-17,West Penn Community Center,53
48837979,2020-01-16,Ammon Community Center,44
48837980,2020-01-16,Brookline Community Center,57
48837981,2020-01-16,Ormsby Community Center,41
48837982,2020-01-16,Phillips Community Center,51
48837983,2020-01-16,Warrington Community Center,46
48837984,2020-01-16,Jefferson Community Center,21
48837985,2020-01-16,Magee Community Center,87
48837986,2020-01-16,West Penn Community Center,97
48837987,2020-01-15,Ammon Community Center,99
48837988,2020-01-15,Brookline Community Center,74
48837989,2020-01-15,Ormsby Community Center,24
48837990,2020-01-15,Phillips Community Center,99
48837991,2020-01-15,Warrington Community Center,59
48837992,2020-01-15,Magee Community Center,51
48837993,2020-01-15,Jefferson Community Center,21
48837994,2020-01-15,West Penn Community Center,49
48837995,2020-01-14,Ammon Community Center,37
48837996,2020-01-14,Brookline Community Center,71
48837997,2020-01-14,Ormsby Community Center,22
48837998,2020-01-14,Phillips Community Center,95
48837999,2020-01-14,Warrington Community Center,71
48838000,2020-01-14,Jefferson Community Center,18
48838001,2020-01-14,Magee Community Center,45
48838002,2020-01-14,West Penn Community Center,110
48838003,2020-01-13,Ammon Community Center,108
48838004,2020-01-13,Brookline Community Center,62
48838005,2020-01-13,Ormsby Community Center,39
48838006,2020-01-13,Phillips Community Center,90
48838007,2020-01-13,Warrington Community Center,74
48838008,2020-01-13,Magee Community Center,76
48838009,2020-01-13,Jefferson Community Center,27
48838010,2020-01-13,West Penn Community Center,66
48838011,2020-01-11,Brookline Community Center,18
48838012,2020-01-11,Phillips Community Center,95
48838013,2020-01-11,Warrington Community Center,30
48838014,2020-01-11,Magee Community Center,43
48838015,2020-01-11,West Penn Community Center,95
48838016,2020-01-10,Ammon Community Center,64
48838017,2020-01-10,Brookline Community Center,48
48838018,2020-01-10,Ormsby Community Center,20
48838019,2020-01-10,Phillips Community Center,77
48838020,2020-01-10,Warrington Community Center,40
48838021,2020-01-10,Magee Community Center,60
48838022,2020-01-10,Jefferson Community Center,18
48838023,2020-01-10,West Penn Community Center,86
48838024,2020-01-09,Ammon Community Center,95
48838025,2020-01-09,Brookline Community Center,50
48838026,2020-01-09,Ormsby Community Center,43
48838027,2020-01-09,Phillips Community Center,85
48838028,2020-01-09,Warrington Community Center,54
48838029,2020-01-09,Jefferson Community Center,19
48838030,2020-01-09,Magee Community Center,86
48838031,2020-01-09,West Penn Community Center,120
48838032,2020-01-08,Ammon Community Center,43
48838033,2020-01-08,Brookline Community Center,81
48838034,2020-01-08,Ormsby Community Center,43
48838035,2020-01-08,Phillips Community Center,92
48838036,2020-01-08,Warrington Community Center,47
48838037,2020-01-08,Magee Community Center,43
48838038,2020-01-08,Jefferson Community Center,20
48838039,2020-01-08,West Penn Community Center,60
48838040,2020-01-07,Ammon Community Center,24
48838041,2020-01-07,Brookline Community Center,58
48838042,2020-01-07,Ormsby Community Center,48
48838043,2020-01-07,Phillips Community Center,88
48838044,2020-01-07,Warrington Community Center,49
48838045,2020-01-07,Jefferson Community Center,25
48838046,2020-01-07,Magee Community Center,58
48838047,2020-01-07,West Penn Community Center,77
48838048,2020-01-06,Ammon Community Center,96
48838049,2020-01-06,Brookline Community Center,63
48838050,2020-01-06,Ormsby Community Center,7
48838051,2020-01-06,Phillips Community Center,92
48838052,2020-01-06,Warrington Community Center,76
48838053,2020-01-06,Magee Community Center,52
48838054,2020-01-06,Jefferson Community Center,23
48838055,2020-01-06,West Penn Community Center,68
48838056,2020-01-04,Brookline Community Center,16
48838057,2020-01-04,Phillips Community Center,47
48838058,2020-01-04,Magee Community Center,15
48838059,2020-01-04,West Penn Community Center,91
48838060,2020-01-03,Ammon Community Center,16
48838061,2020-01-03,Brookline Community Center,67
48838062,2020-01-03,Ormsby Community Center,16
48838063,2020-01-03,Phillips Community Center,26
48838064,2020-01-03,Warrington Community Center,35
48838065,2020-01-03,Magee Community Center,49
48838066,2020-01-03,Jefferson Community Center,14
48838067,2020-01-03,West Penn Community Center,53
48838068,2020-01-02,Ammon Community Center,40
48838069,2020-01-02,Brookline Community Center,70
48838070,2020-01-02,Ormsby Community Center,15
48838071,2020-01-02,Phillips Community Center,60
48838072,2020-01-02,Warrington Community Center,44
48838073,2020-01-02,Jefferson Community Center,19
48838074,2020-01-02,Magee Community Center,38
48838075,2020-01-02,West Penn Community Center,54
48838076,2019-12-31,Ammon Community Center,18
48838077,2019-12-31,Brookline Community Center,23
48838078,2019-12-31,Ormsby Community Center,5
48838079,2019-12-31,Phillips Community Center,33
48838080,2019-12-31,Warrington Community Center,23
48838081,2019-12-31,Magee Community Center,27
48838082,2019-12-31,Jefferson Community Center,19
48838083,2019-12-31,West Penn Community Center,30
48838084,2019-12-30,Ammon Community Center,38
48838085,2019-12-30,Brookline Community Center,50
48838086,2019-12-30,Ormsby Community Center,19
48838087,2019-12-30,Phillips Community Center,44
48838088,2019-12-30,Warrington Community Center,52
48838089,2019-12-30,Jefferson Community Center,15
48838090,2019-12-30,Magee Community Center,30
48838091,2019-12-30,West Penn Community Center,32
48838092,2019-12-28,Brookline Community Center,21
48838093,2019-12-28,Phillips Community Center,6
48838094,2019-12-28,Magee Community Center,11
48838095,2019-12-28,West Penn Community Center,81
48838096,2019-12-27,Ammon Community Center,2
48838097,2019-12-27,Brookline Community Center,29
48838098,2019-12-27,Ormsby Community Center,9
48838099,2019-12-27,Phillips Community Center,22
48838100,2019-12-27,Warrington Community Center,39
48838101,2019-12-27,Magee Community Center,9
48838102,2019-12-27,Jefferson Community Center,13
48838103,2019-12-27,West Penn Community Center,23
48838104,2019-12-26,Ammon Community Center,6
48838105,2019-12-26,Brookline Community Center,20
48838106,2019-12-26,Ormsby Community Center,10
48838107,2019-12-26,Phillips Community Center,38
48838108,2019-12-26,Warrington Community Center,22
48838109,2019-12-26,Magee Community Center,13
48838110,2019-12-26,West Penn Community Center,29
48838111,2019-12-24,Ammon Community Center,7
48838112,2019-12-24,Brookline Community Center,30
48838113,2019-12-24,Ormsby Community Center,9
48838114,2019-12-24,Phillips Community Center,7
48838115,2019-12-24,Warrington Community Center,16
48838116,2019-12-24,Magee Community Center,14
48838117,2019-12-24,West Penn Community Center,28
48838118,2019-12-23,Ammon Community Center,6
48838119,2019-12-23,Brookline Community Center,54
48838120,2019-12-23,Ormsby Community Center,14
48838121,2019-12-23,Paulson Community Center,1
48838122,2019-12-23,Phillips Community Center,13
48838123,2019-12-23,Warrington Community Center,43
48838124,2019-12-23,Magee Community Center,34
48838125,2019-12-23,Jefferson Community Center,11
48838126,2019-12-23,West Penn Community Center,43
48838127,2019-12-21,Brookline Community Center,16
48838128,2019-12-21,Phillips Community Center,4
48838129,2019-12-21,Warrington Community Center,13
48838130,2019-12-21,Magee Community Center,12
48838131,2019-12-21,West Penn Community Center,105
48838132,2019-12-20,Ammon Community Center,38
48838133,2019-12-20,Brookline Community Center,35
48838134,2019-12-20,Ormsby Community Center,8
48838135,2019-12-20,Phillips Community Center,85
48838136,2019-12-20,Warrington Community Center,23
48838137,2019-12-20,Magee Community Center,31
48838138,2019-12-20,Jefferson Community Center,18
48838139,2019-12-20,West Penn Community Center,19
48838140,2019-12-19,Ammon Community Center,12
48838141,2019-12-19,Brookline Community Center,65
48838142,2019-12-19,Ormsby Community Center,14
48838143,2019-12-19,Paulson Community Center,13
48838144,2019-12-19,Phillips Community Center,60
48838145,2019-12-19,Warrington Community Center,54
48838146,2019-12-19,Magee Community Center,49
48838147,2019-12-19,West Penn Community Center,65
48838148,2019-12-18,Ammon Community Center,55
48838149,2019-12-18,Brookline Community Center,51
48838150,2019-12-18,Paulson Community Center,2
48838151,2019-12-18,Ormsby Community Center,32
48838152,2019-12-18,Phillips Community Center,61
48838153,2019-12-18,Warrington Community Center,56
48838154,2019-12-18,Magee Community Center,31
48838155,2019-12-18,Jefferson Community Center,14
48838156,2019-12-18,West Penn Community Center,39
48838157,2019-12-17,Ammon Community Center,16
48838158,2019-12-17,Brookline Community Center,59
48838159,2019-12-17,Ormsby Community Center,10
48838160,2019-12-17,Phillips Community Center,65
48838161,2019-12-17,Warrington Community Center,55
48838162,2019-12-17,Jefferson Community Center,24
48838163,2019-12-17,Magee Community Center,47
