_id,date,center_name,attendance_count
48827950,2025-10-16,Ammon Community Center,17
48827951,2025-10-16,Arlington Community Center,8
48827952,2025-10-16,Brookline Community Center,30
48827953,2025-10-16,Ormsby Community Center,12
48827954,2025-10-16,Paulson Community Center,14
48827955,2025-10-16,Phillips Community Center,56
48827956,2025-10-16,Warrington Community Center,31
48827957,2025-10-16,Jefferson Community Center,62
48827958,2025-10-16,Magee Community Center,10
48827959,2025-10-16,West Penn Community Center,81
48827960,2025-10-15,Ammon Community Center,26
48827961,2025-10-15,Brookline Community Center,17
48827962,2025-10-15,Arlington Community Center,58
48827963,2025-10-15,Ormsby Community Center,11
48827964,2025-10-15,Phillips Community Center,70
48827965,2025-10-15,Paulson Community Center,14
48827966,2025-10-15,Warrington Community Center,36
48827967,2025-10-15,Magee Community Center,11
48827968,2025-10-15,Jefferson Community Center,61
48827969,2025-10-15,West Penn Community Center,75
48827970,2025-10-14,Ammon Community Center,12
48827971,2025-10-14,Arlington Community Center,17
48827972,2025-10-14,Brookline Community Center,56
48827973,2025-10-14,Ormsby Community Center,13
48827974,2025-10-14,Paulson Community Center,13
48827975,2025-10-14,Phillips Community Center,63
48827976,2025-10-14,Warrington Community Center,37
48827977,2025-10-14,Jefferson Community Center,57
48827978,2025-10-14,Magee Community Center,13
48827979,2025-10-14,West Penn Community Center,73
48827980,2025-10-13,Ammon Community Center,20
48827981,2025-10-13,Brookline Community Center,31
48827982,2025-10-13,Arlington Community Center,12
48827983,2025-10-13,Ormsby Community Center,13
48827984,2025-10-13,Phillips Community Center,75
48827985,2025-10-13,Paulson Community Center,1
48827986,2025-10-13,Warrington Community Center,43
48827987,2025-10-13,Magee Community Center,16
48827988,2025-10-13,Jefferson Community Center,29
48827989,2025-10-13,West Penn Community Center,45
48827990,2025-10-11,Phillips Community Center,4
48827991,2025-10-11,Warrington Community Center,8
48827992,2025-10-11,Magee Community Center,3
48827993,2025-10-11,West Penn Community Center,38
48827994,2025-10-10,Ammon Community Center,17
48827995,2025-10-10,Arlington Community Center,21
48827996,2025-10-10,Brookline Community Center,21
48827997,2025-10-10,Ormsby Community Center,3
48827998,2025-10-10,Phillips Community Center,15
48827999,2025-10-10,Paulson Community Center,11
48828000,2025-10-10,Warrington Community Center,48
48828001,2025-10-10,Magee Community Center,23
48828002,2025-10-10,Jefferson Community Center,45
48828003,2025-10-10,West Penn Community Center,50
48828004,2025-10-09,Brookline Community Center,33
48828005,2025-10-09,Arlington Community Center,17
48828006,2025-10-09,Ormsby Community Center,7
48828007,2025-10-09,Paulson Community Center,12
48828008,2025-10-09,Phillips Community Center,54
48828009,2025-10-09,Warrington Community Center,28
48828010,2025-10-09,Jefferson Community Center,45
48828011,2025-10-09,Magee Community Center,18
48828012,2025-10-09,West Penn Community Center,100
48828013,2025-10-08,Ammon Community Center,20
48828014,2025-10-08,Arlington Community Center,60
